iter	MultiClass
0	1.831736623
1	1.751440458
2	1.684359401
3	1.630364551
4	1.585354791
5	1.543097017
6	1.503083134
7	1.462826292
8	1.430862578
9	1.404143174
10	1.380207348
11	1.35428347
12	1.329687619
13	1.308177263
14	1.288030472
15	1.271985087
16	1.257846317
17	1.239826081
18	1.224661665
19	1.209120793
20	1.191907309
21	1.176690368
22	1.16569975
23	1.152379979
24	1.142051293
25	1.132008981
26	1.121152567
27	1.113058053
28	1.10177997
29	1.095419733
30	1.087792866
31	1.080948515
32	1.071489392
33	1.063578998
34	1.056274843
35	1.048162436
36	1.042003691
37	1.0363858
38	1.030315784
39	1.023391415
40	1.015330856
41	1.007705856
42	0.999311228
43	0.9926880037
44	0.9861472679
45	0.979564864
46	0.9726384103
47	0.9649955263
48	0.9579550464
49	0.9529152346
50	0.946793757
51	0.9400514673
52	0.9358921167
53	0.9301838589
54	0.9255046614
55	0.9206785985
56	0.9154625296
57	0.9112663656
58	0.9076515771
59	0.9025110293
60	0.8970328671
61	0.8903685785
62	0.8867346874
63	0.8820098835
64	0.8792823555
65	0.8763429322
66	0.8730616388
67	0.869703634
68	0.8673338238
69	0.8640406487
70	0.8597281586
71	0.8565882279
72	0.8526453803
73	0.8478578223
74	0.8449450156
75	0.8421366518
76	0.8373819585
77	0.835002735
78	0.8326773015
79	0.8303749597
80	0.82854621
81	0.8248971541
82	0.81986019
83	0.8182714751
84	0.8145338513
85	0.8121337622
86	0.8075859924
87	0.8054899123
88	0.802963033
89	0.8013799643
90	0.7988994066
91	0.7960003472
92	0.7925947469
93	0.7900780543
94	0.7880571843
95	0.7844512464
96	0.7830119039
97	0.7804797246
98	0.7783316255
99	0.775399981
100	0.7719523096
101	0.7700006495
102	0.7674767174
103	0.7660368338
104	0.7638416403
105	0.7609430206
106	0.7587546378
107	0.7564355741
108	0.7540097988
109	0.7519743171
110	0.7494505749
111	0.7474636225
112	0.7457174785
113	0.743362174
114	0.7415247995
115	0.7396295052
116	0.7373108897
117	0.7357291185
118	0.733291079
119	0.7316886523
120	0.7287166387
121	0.7267022304
122	0.7245553655
123	0.7215708626
124	0.7195564966
125	0.7177482021
126	0.7160484344
127	0.7147763544
128	0.7124058839
129	0.7108798036
130	0.7088704823
131	0.7073265568
132	0.7053401148
133	0.7040648022
134	0.7026794255
135	0.7014470467
136	0.6993977709
137	0.6979189012
138	0.6961359407
139	0.693642572
140	0.6927247207
141	0.6910821526
142	0.6894619913
143	0.6880412794
144	0.6867170307
145	0.6850602159
146	0.6829849556
147	0.6810887697
148	0.67988816
149	0.6777873071
150	0.6766657088
151	0.6749132854
152	0.6734122899
153	0.6711313339
154	0.6697101262
155	0.6679842767
156	0.66681474
157	0.6652942681
158	0.6637525832
159	0.6623192332
160	0.6611241568
161	0.6591393753
162	0.6582592784
163	0.6549625628
164	0.6526798157
165	0.6508437626
166	0.6498583758
167	0.6486313949
168	0.6475296462
169	0.6454379095
170	0.6446516628
171	0.6429665867
172	0.6415125139
173	0.6406537651
174	0.6393949016
175	0.6377674748
176	0.6366936883
177	0.6353738232
178	0.6332507211
179	0.6317067894
180	0.6304184527
181	0.6291615796
182	0.6279304595
183	0.6265946535
184	0.6250839398
185	0.6241340067
186	0.623151864
187	0.6219820227
188	0.6209975329
189	0.6199174845
190	0.6190339782
191	0.6181458744
192	0.6173058822
193	0.6159025212
194	0.6149083523
195	0.6139581458
196	0.6130918879
197	0.6122052737
198	0.6111106505
199	0.6099443222
200	0.6084054461
201	0.6070669256
202	0.6063170678
203	0.6056482171
204	0.6041269034
205	0.6033955334
206	0.6025906656
207	0.6011043509
208	0.6001495495
209	0.5983851444
210	0.5975376981
211	0.5966830043
212	0.5959114361
213	0.5938484064
214	0.5932380833
215	0.5915007981
216	0.5903818976
217	0.5894043001
218	0.5882864626
219	0.5873718131
220	0.586549317
221	0.5851474931
222	0.5845026858
223	0.583590079
224	0.5818986309
225	0.5807274601
226	0.5791819223
227	0.5776046004
228	0.5768803433
229	0.5757583907
230	0.5745298413
231	0.5739000837
232	0.572864605
233	0.5719678383
234	0.5698755784
235	0.569058348
236	0.568248079
237	0.5676206793
238	0.5666238676
239	0.5656223649
240	0.5642809309
241	0.5634104076
242	0.5627427395
243	0.5618117018
244	0.5606595924
245	0.5599558649
246	0.5588890736
247	0.5573590437
248	0.5559940906
249	0.5549333812
250	0.5536486617
251	0.5527516062
252	0.5515606201
253	0.5505295805
254	0.5498531506
255	0.548864589
256	0.5477400908
257	0.5470764762
258	0.5465716682
259	0.5452560123
260	0.5444182569
261	0.543378037
262	0.542533945
263	0.5413559122
264	0.5406145061
265	0.53985516
266	0.5390446862
267	0.537417908
268	0.5362538579
269	0.5353969425
270	0.5343566353
271	0.5335269926
272	0.532812174
273	0.5321113827
274	0.5306950333
275	0.529273177
276	0.5285799928
277	0.5279844617
278	0.5268057259
279	0.5259480603
280	0.5252052698
281	0.5243476889
282	0.5238570496
283	0.5223456521
284	0.5214339583
285	0.5208689693
286	0.5201368678
287	0.51920737
288	0.5184180468
289	0.5176792755
290	0.5167084964
291	0.5156585523
292	0.514992749
293	0.5146874936
294	0.5138428999
295	0.5132067262
296	0.5124328879
297	0.5118069512
298	0.5111713936
299	0.5102385238
300	0.509253408
301	0.5085282787
302	0.5077385245
303	0.5074431639
304	0.5068582129
305	0.5061210787
306	0.5048699367
307	0.5038911605
308	0.5032749539
309	0.5026366383
310	0.5018765943
311	0.5008520868
312	0.4999935873
313	0.499123016
314	0.4985529144
315	0.4980004847
316	0.4975016975
317	0.4969569358
318	0.4964013687
319	0.4958318212
320	0.4947701293
321	0.4940616609
322	0.4933015825
323	0.4925704036
324	0.4913764138
325	0.4906172354
326	0.4896310646
327	0.4889423722
328	0.4879198408
329	0.487098104
330	0.486032291
331	0.4853283213
332	0.4847706301
333	0.4842905193
