iter	Passed	Remaining
0	24	24367
1	44	22020
2	63	20953
3	82	20465
4	101	20210
5	122	20296
6	151	21484
7	172	21344
8	191	21043
9	210	20802
10	230	20682
11	250	20631
12	271	20643
13	291	20501
14	321	21113
15	344	21157
16	364	21049
17	383	20919
18	404	20905
19	423	20771
20	445	20745
21	474	21091
22	493	20942
23	513	20869
24	531	20730
25	550	20640
26	573	20671
27	592	20563
28	611	20479
29	640	20696
30	660	20633
31	679	20562
32	698	20476
33	718	20418
34	737	20323
35	756	20267
36	788	20527
37	807	20432
38	824	20321
39	844	20256
40	864	20230
41	886	20211
42	905	20147
43	924	20080
44	954	20250
45	974	20206
46	993	20149
47	1014	20126
48	1035	20093
49	1055	20050
50	1074	19987
51	1104	20138
52	1123	20073
53	1143	20026
54	1163	19994
55	1185	19976
56	1204	19930
57	1224	19883
58	1253	19997
59	1273	19958
60	1293	19913
61	1316	19919
62	1335	19860
63	1354	19810
64	1373	19758
65	1405	19895
66	1425	19853
67	1447	19834
68	1465	19779
69	1484	19725
70	1504	19679
71	1523	19638
72	1543	19596
73	1574	19703
74	1594	19660
75	1615	19638
76	1635	19604
77	1654	19560
78	1673	19512
79	1693	19479
80	1723	19558
81	1746	19548
82	1766	19515
83	1786	19476
84	1811	19502
85	1832	19479
86	1863	19559
87	1881	19502
88	1900	19458
89	1919	19412
90	1939	19374
91	1962	19369
92	1981	19328
93	2011	19388
94	2030	19346
95	2051	19317
96	2070	19270
97	2089	19235
98	2110	19205
99	2129	19164
100	2149	19135
101	2181	19206
102	2199	19154
103	2217	19106
104	2237	19069
105	2259	19054
106	2280	19033
107	2299	18989
108	2330	19047
109	2348	19001
110	2369	18977
111	2388	18940
112	2409	18913
113	2428	18875
114	2447	18832
115	2466	18796
116	2497	18848
117	2516	18808
118	2536	18776
119	2555	18739
120	2576	18716
121	2596	18688
122	2619	18675
123	2650	18722
124	2668	18682
125	2690	18663
126	2710	18634
127	2729	18595
128	2749	18563
129	2768	18526
130	2787	18487
131	2817	18528
132	2839	18507
133	2857	18467
134	2876	18430
135	2895	18393
136	2919	18387
137	2942	18382
138	2974	18426
139	2994	18392
140	3012	18355
141	3033	18329
142	3054	18305
143	3073	18269
144	3091	18231
145	3124	18275
146	3144	18248
147	3164	18216
148	3183	18181
149	3205	18163
150	3225	18134
151	3245	18108
152	3265	18078
153	3294	18097
154	3313	18061
155	3332	18031
156	3354	18013
157	3373	17979
158	3392	17943
159	3411	17909
160	3431	17880
161	3465	17924
162	3486	17901
163	3505	17870
164	3525	17841
165	3545	17811
166	3564	17781
167	3586	17759
168	3617	17788
169	3676	17949
170	3747	18169
171	3801	18298
172	3850	18406
173	3871	18376
174	3890	18341
175	3909	18302
176	3928	18267
177	3951	18246
178	3971	18214
179	3989	18175
180	4019	18187
181	4038	18149
182	4057	18115
183	4077	18083
184	4098	18055
185	4118	18023
186	4139	17998
187	4162	17978
188	4198	18015
189	4217	17978
190	4235	17941
191	4256	17913
192	4278	17891
193	4303	17880
194	4339	17912
195	4359	17883
196	4383	17867
197	4403	17837
198	4424	17808
199	4444	17777
200	4465	17750
201	4485	17719
202	4514	17724
203	4533	17690
204	4552	17655
205	4571	17620
206	4590	17586
207	4610	17555
208	4631	17529
209	4661	17535
210	4681	17503
211	4702	17477
212	4722	17449
213	4745	17428
214	4765	17399
215	4788	17379
216	4821	17399
217	4844	17379
218	4865	17350
219	4887	17327
220	4907	17298
221	4928	17272
222	4946	17236
223	4964	17199
224	4998	17218
225	5019	17189
226	5038	17158
227	5059	17131
228	5078	17098
229	5098	17070
230	5120	17045
231	5152	17056
232	5171	17024
233	5192	16998
234	5215	16978
235	5235	16947
236	5254	16916
237	5275	16890
238	5297	16867
239	5333	16888
240	5355	16865
241	5378	16845
242	5399	16819
243	5421	16797
244	5443	16775
245	5462	16743
246	5494	16750
247	5517	16730
248	5540	16710
249	5560	16681
250	5579	16650
251	5598	16618
252	5632	16629
253	5651	16597
254	5672	16572
255	5693	16545
256	5713	16518
257	5733	16490
258	5760	16480
259	5792	16487
260	5814	16463
261	5835	16436
262	5857	16414
263	5878	16387
264	5898	16360
265	5921	16340
266	5959	16359
267	5980	16333
268	6000	16305
269	6024	16289
270	6047	16267
271	6070	16246
272	6091	16220
273	6127	16236
274	6157	16232
275	6182	16217
276	6207	16201
277	6228	16176
278	6256	16167
279	6295	16188
280	6316	16161
281	6343	16150
282	6370	16139
283	6393	16118
284	6414	16092
285	6436	16069
286	6473	16081
287	6495	16058
288	6520	16040
289	6541	16016
290	6563	15990
291	6586	15969
292	6606	15941
293	6626	15912
294	6665	15930
295	6687	15904
296	6707	15875
297	6728	15849
298	6752	15830
299	6772	15803
300	6804	15802
301	6824	15773
302	6846	15749
303	6868	15725
304	6887	15694
305	6907	15666
306	6927	15638
307	6965	15650
308	6985	15620
309	7005	15593
310	7025	15565
311	7050	15546
312	7070	15519
313	7090	15490
314	7123	15490
315	7143	15461
316	7166	15441
317	7186	15412
318	7210	15392
319	7233	15371
320	7255	15346
321	7286	15343
322	7306	15313
323	7325	15284
324	7347	15259
325	7368	15233
326	7388	15205
327	7408	15178
328	7438	15171
329	7458	15142
330	7480	15119
331	7501	15094
332	7520	15064
333	7540	15034
